origin,proxy,nft_id,price_eth,tx,collection,token_id
0x95c2937f0565e259b5afd4269a0fa221d2d3c5ec,0x279b20f85eebb78b27c3a32f0c7c8f2a9f9a97c7,0x4e1f41613c9084fdb9e34e11fae9412427480e56:8099,2000,0x7b662974ed7655d0b22a223be7261ca1a8af4e90180b9faf82afb4afed204d5e,Terraforms,8099
0x95c2937f0565e259b5afd4269a0fa221d2d3c5ec,0x279b20f85eebb78b27c3a32f0c7c8f2a9f9a97c7,0x4e1f41613c9084fdb9e34e11fae9412427480e56:8099,2000,0xaa35392353852c0f0a5c94b9cbe8e345b74a5dd0c314206c486a457348bcea67,Terraforms,8099
0x95c2937f0565e259b5afd4269a0fa221d2d3c5ec,0x279b20f85eebb78b27c3a32f0c7c8f2a9f9a97c7,0x4e1f41613c9084fdb9e34e11fae9412427480e56:8099,2000,0xcc91c3d8dd6b6898d6047634da19bee2ae117d5b102f838aea26234a26cb4fba,Terraforms,8099
0x95c2937f0565e259b5afd4269a0fa221d2d3c5ec,0x279b20f85eebb78b27c3a32f0c7c8f2a9f9a97c7,0x4e1f41613c9084fdb9e34e11fae9412427480e56:8099,2000,0x3c606b37199cdbc4b037858c216b88aea303109f054a01c82c9f16993f412720,Terraforms,8099
0x116a4ea2f3d2a1c41c82d88df87416d070b5d94e,0xa294fdcfbdc1d47c77cd6192fb89d6f4cb577fd1,0x4e1f41613c9084fdb9e34e11fae9412427480e56:2005,250,0xf1bb545ecc88421a0ebe981586b51304134d9f17712f239dda0e7f90709a7efe,Terraforms,2005
0x116a4ea2f3d2a1c41c82d88df87416d070b5d94e,0xa294fdcfbdc1d47c77cd6192fb89d6f4cb577fd1,0x4e1f41613c9084fdb9e34e11fae9412427480e56:2005,250,0x5c4bebc1b2478b103f20518e83eb5209fd94f7030338eda88c2424358cb8a3e5,Terraforms,2005
0x116a4ea2f3d2a1c41c82d88df87416d070b5d94e,0xa294fdcfbdc1d47c77cd6192fb89d6f4cb577fd1,0x4e1f41613c9084fdb9e34e11fae9412427480e56:2005,250,0xcc46cd4bb499efcbb6e970b04b7ef2ab8597dd1971e980e522a364a13186f327,Terraforms,2005
0x116a4ea2f3d2a1c41c82d88df87416d070b5d94e,0xcf9fba0b2953e60b58389481281e0928611af953,0x4e1f41613c9084fdb9e34e11fae9412427480e56:2005,250,0xbf05f0078e4021ac99588685076148ad9577f30e0c381f4d5faf5bfb83833c5f,Terraforms,2005
0x116a4ea2f3d2a1c41c82d88df87416d070b5d94e,0xcf9fba0b2953e60b58389481281e0928611af953,0x4e1f41613c9084fdb9e34e11fae9412427480e56:2005,5,0x4461a68773959aca8baf88924f984121d3de9663914a320967975477dd52858e,Terraforms,2005
