nft_id,sales,volume_eth,min_price,max_price,distinct_txs,top_pair_a,top_pair_b,top_pair_sales,dominance_pct,pair_confidence,pair_structure,token_structure,collection,token_id
0xff9c1b15b16263c61d017ee9f65c50e4ae0113d7:1087,1,4,4,4,1,0x684f3268fde2839d3a36a940f0d3e7e458230e40,0xe1a24535d1dd36c2b1508e11138960c3950ab161,1,100,,,single_pair_dominated,Loot,1087
0xff9c1b15b16263c61d017ee9f65c50e4ae0113d7:1604,1,2,1.702,1.702,1,0x9b667c9840137e721f75f715f235c981662f7c71,0xe2e23c12e3f15471c4e5f4c4e1b87cf6672e5ca5,1,100,,,single_pair_dominated,Loot,1604
0xff9c1b15b16263c61d017ee9f65c50e4ae0113d7:2473,1,2,1.71,1.71,1,0xe2e23c12e3f15471c4e5f4c4e1b87cf6672e5ca5,0xed6ebc3489f13e35a25234810c70944ab4681d42,1,100,,,single_pair_dominated,Loot,2473
0xff9c1b15b16263c61d017ee9f65c50e4ae0113d7:174,1,1450,1450,1450,1,0xa357f162fe9c383edeee81fbc905c4bc7fca166f,0xe7e8b3777884b5b088453d0093f844ddff9cfd8d,1,100,medium,concentrated_pair,single_pair_dominated,Loot,174
0x4e1f41613c9084fdb9e34e11fae9412427480e56:4105,1,2,1.9,1.9,1,0x592ff6c9179e86b6d95b93d17cc0ad47e6985553,0xe809968423551135675f38ca77d9595c5d225918,1,100,,,single_pair_dominated,Terraforms,4105
0xff9c1b15b16263c61d017ee9f65c50e4ae0113d7:5043,1,2,2.29,2.29,1,0x5a0f2c1d8e563db79ee40f979f6bcd0d27f86f80,0xe8db5d66bb9aee8dd55702c9704b803d5e388eef,1,100,,,single_pair_dominated,Loot,5043
0xff9c1b15b16263c61d017ee9f65c50e4ae0113d7:5976,1,2,2.29,2.29,1,0xb8688028c54efe7d6e27405616526b23c7ae6948,0xe8db5d66bb9aee8dd55702c9704b803d5e388eef,1,100,,,single_pair_dominated,Loot,5976
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:14810,1,5,4.9,4.9,1,0x9a33124dd1a12903736f225ba97cb5fe4615bb7d,0xe99b70874dd7785e7d88b0a629afe80ac1e19634,1,100,,,single_pair_dominated,Meebits,14810
0x4e1f41613c9084fdb9e34e11fae9412427480e56:6943,1,0,0.3,0.3,1,0x0562144f613db89939e2b2ffa42412fe3e526307,0xebe1f3473e3a5e38a7da342db2b1c94a1a1b0321,1,100,,,single_pair_dominated,Terraforms,6943
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:1201,1,3,3.1,3.1,1,0x97b5d56d02c0b97b02346d2eb61a1747b63a72d9,0xed1ac96b2d3854238591ae3524ab6b33710a2032,1,100,,,single_pair_dominated,Meebits,1201
